rc_11,rc_14,rc_15,rc_26,rc_37,profit
0.282,0.617,0.443,0.457,0.631,22.95066311733105
0.615,0.795,0.277,0.262,0.635,17.298338666043907
0.547,0.364,0.248,0.251,0.737,16.936283542131
0.315,0.394,0.336,0.413,0.242,17.33961040636961
0.511,0.241,0.68,0.34,0.524,22.040444912807377
0.728,0.591,0.52,0.395,0.4,26.240281054423747
0.602,0.796,0.597,0.535,0.638,35.78714189255714
0.479,0.236,0.537,0.775,0.305,15.424024658609516
0.614,0.321,0.521,0.258,0.47,24.15391685871113
0.654,0.409,0.599,0.677,0.756,28.28935691323567
0.341,0.44,0.291,0.795,0.756,25.062923056630844
0.524,0.705,0.513,0.574,0.253,24.39777503674308
0.653,0.277,0.696,0.669,0.625,21.48189096752126
0.222,0.382,0.358,0.416,0.253,16.57488639640005
0.762,0.532,0.383,0.438,0.468,25.44850895273405
0.56,0.509,0.752,0.498,0.795,31.731339534119382
0.711,0.325,0.758,0.27,0.69,18.356575696462034
0.428,0.727,0.721,0.684,0.674,34.02894512582674
0.383,0.249,0.442,0.304,0.617,16.04246424444746
0.408,0.785,0.585,0.693,0.28,24.9290735588304
0.717,0.754,0.492,0.564,0.659,35.25449832140658
0.305,0.502,0.439,0.288,0.421,19.57484938304383
0.241,0.215,0.281,0.778,0.53,15.72956460764182
0.779,0.459,0.387,0.504,0.464,25.57041541884385
0.263,0.584,0.33,0.572,0.59,25.710742433394
0.291,0.237,0.668,0.476,0.235,15.18668208885915
0.797,0.235,0.617,0.79,0.344,15.505855592881758
0.285,0.273,0.382,0.261,0.615,16.348221652148865
0.237,0.506,0.798,0.688,0.569,24.456522136350685
0.384,0.574,0.516,0.456,0.278,21.71311140096361
0.732,0.47,0.317,0.421,0.448,25.678596061889998
0.697,0.64,0.662,0.207,0.45,18.56741304677987
0.489,0.212,0.356,0.656,0.282,13.028085712253347
0.521,0.329,0.207,0.345,0.786,16.079251097796828
0.681,0.776,0.493,0.266,0.529,25.930855666284128
0.473,0.707,0.259,0.493,0.29,21.498062563757276
0.395,0.642,0.486,0.426,0.437,29.410393894716517
0.476,0.671,0.735,0.773,0.672,37.057142519932135
0.389,0.613,0.463,0.353,0.705,25.032480587388175
0.223,0.741,0.477,0.582,0.596,24.879111557861435
0.737,0.582,0.568,0.24,0.511,18.24416672144431
0.29,0.642,0.507,0.608,0.225,17.819242130583913
0.251,0.63,0.243,0.243,0.207,14.22647374733723
0.774,0.643,0.412,0.378,0.41,25.811787663315098
0.665,0.597,0.311,0.304,0.259,18.831064966203467
0.596,0.659,0.359,0.213,0.249,20.837007697026486
0.781,0.377,0.662,0.575,0.429,24.537728023728523
0.323,0.273,0.569,0.665,0.586,18.7669010528493
0.518,0.225,0.781,0.679,0.376,15.347794860881198
0.788,0.561,0.549,0.649,0.687,33.83747251224555
0.594,0.277,0.403,0.757,0.335,22.508233447787156
0.423,0.459,0.464,0.568,0.766,28.27647501927469
0.344,0.273,0.318,0.732,0.587,21.338152274522113
0.372,0.69,0.717,0.708,0.751,37.185101906291855
0.351,0.653,0.476,0.705,0.637,34.78892225092679
0.666,0.594,0.306,0.527,0.791,27.038903228477928
0.762,0.226,0.299,0.279,0.636,14.08748919884724
0.691,0.328,0.504,0.704,0.64,22.312861042976593
0.525,0.554,0.505,0.379,0.539,26.103289635016875
0.613,0.724,0.582,0.657,0.296,25.16460420987982
0.477,0.206,0.348,0.636,0.795,17.106396617507695
0.26,0.441,0.68,0.322,0.533,21.439197177211216
0.64,0.57,0.313,0.413,0.67,23.933266445505268
0.533,0.203,0.657,0.221,0.647,13.204921171708568
0.321,0.775,0.421,0.396,0.289,20.151516140637458
0.383,0.726,0.798,0.421,0.469,29.452015296267216
0.633,0.732,0.556,0.435,0.448,32.40462040025034
0.617,0.202,0.572,0.413,0.677,14.88013946486194
0.256,0.553,0.489,0.585,0.239,16.510007616562724
0.548,0.537,0.536,0.562,0.606,31.985814632844743
0.683,0.362,0.695,0.499,0.246,17.585537866178694
0.235,0.401,0.671,0.625,0.673,23.739198385437312
0.51,0.464,0.288,0.397,0.46,21.24988681407964
0.253,0.332,0.559,0.641,0.799,22.18633836518845
0.76,0.586,0.453,0.582,0.671,31.25268772950068
0.271,0.446,0.704,0.43,0.543,24.24974591366018
0.553,0.311,0.417,0.401,0.216,15.186005830101696
0.215,0.699,0.364,0.511,0.379,18.003576360615174
0.764,0.356,0.458,0.724,0.705,30.235940255563072
0.312,0.682,0.475,0.49,0.28,23.191205720474215
0.248,0.637,0.498,0.462,0.638,29.09719809266916
0.659,0.295,0.566,0.281,0.651,21.17113074007044
0.594,0.774,0.241,0.234,0.369,16.335225730835425
0.357,0.348,0.744,0.35,0.363,21.271106712514538
0.656,0.47,0.666,0.239,0.493,19.14825075063205
0.22,0.238,0.744,0.284,0.519,14.643230454985122
0.447,0.408,0.74,0.213,0.598,16.63932493854924
0.778,0.536,0.762,0.231,0.451,18.59846548613045
