ID,rc_11,rc_14,rc_15,rc_26,rc_37,threshold,prediction
25,-1.0,0.0,0.0,0.0,0.0,-0.30900100035762784,26.82972025903113
25,0.0,-1.0,0.0,0.0,0.0,-0.6825010047683716,26.82972025903113
26,0.0,-1.0,0.0,0.0,0.0,-0.3685009942779541,22.457989767041994
26,0.0,0.0,0.0,-1.0,0.0,-0.3475009964237213,22.457989767041994
26,0.0,0.0,0.0,0.0,-1.0,-0.4035010056028366,22.457989767041994
26,0.0,0.0,1.0,0.0,0.0,0.4349999874830246,22.457989767041994
26,1.0,0.0,0.0,0.0,0.0,0.32850000262260437,22.457989767041994
27,0.0,-1.0,0.0,0.0,0.0,-0.3685009942779541,22.524525127085397
27,0.0,0.0,0.0,-1.0,0.0,-0.3475009964237213,22.524525127085397
27,0.0,0.0,0.0,0.0,-1.0,-0.4035010056028366,22.524525127085397
27,0.0,0.0,1.0,0.0,0.0,0.4349999874830246,22.524525127085397
27,-1.0,0.0,0.0,0.0,0.0,-0.32850100262260434,22.524525127085397
27,0.0,0.0,0.0,0.0,1.0,0.5600000023841858,22.524525127085397
27,0.0,0.0,1.0,0.0,0.0,0.3075000047683716,22.524525127085397
28,0.0,-1.0,0.0,0.0,0.0,-0.3685009942779541,25.79148238850097
28,0.0,0.0,0.0,-1.0,0.0,-0.3475009964237213,25.79148238850097
28,0.0,0.0,0.0,0.0,-1.0,-0.4035010056028366,25.79148238850097
28,0.0,0.0,1.0,0.0,0.0,0.4349999874830246,25.79148238850097
28,-1.0,0.0,0.0,0.0,0.0,-0.32850100262260434,25.79148238850097
28,0.0,0.0,0.0,0.0,1.0,0.5600000023841858,25.79148238850097
28,0.0,0.0,-1.0,0.0,0.0,-0.30750100476837156,25.79148238850097
29,0.0,-1.0,0.0,0.0,0.0,-0.3685009942779541,26.105672209306412
29,0.0,0.0,0.0,-1.0,0.0,-0.3475009964237213,26.105672209306412
29,0.0,0.0,0.0,0.0,-1.0,-0.4035010056028366,26.105672209306412
29,0.0,0.0,1.0,0.0,0.0,0.4349999874830246,26.105672209306412
